"model","manufacturer","light_type","color","wavelength_nm","mode","active_width_mm","active_height_mm","best_for"
"ML-AOI212-RGBW","慕藤光","Dome","RGBW","0","Continuous","212","212","慕藤光官网：AIO光源；功率 24V/10W；尺寸 212 mm；角度 未公开"
"ML-AOI150-RGB","慕藤光","Dome","RGB","0","Continuous","150","150","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-AOI-212-RGBW","慕藤光","Dome","RGBW","0","Continuous","212","212","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-AOI81-180-RGB","慕藤光","Dome","RGB","0","Continuous","180","81","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-AOI81-RGB","慕藤光","Dome","RGB","0","Continuous","81","81","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-D112-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","112","112","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/7.5W；尺寸 112 mm；角度 未公开"
"ML-D135-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","135","135","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/7.5W；尺寸 135 mm；角度 未公开"
"ML-D230-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","230","230","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/25W；尺寸 230 mm；角度 未公开"
"ML-D300-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","300","300","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/38W；尺寸 300 mm；角度 未公开"
"ML-D380-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","380","380","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/52W；尺寸 380 mm；角度 未公开"
"ML-D92-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","92","92","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/6.0W；尺寸 92 mm；角度 未公开"
"ML-DS100-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","100","100","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/5.2W；尺寸 未公开；角度 未公开"
"ML-DS210-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","210","210","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/10W；尺寸 未公开；角度 未公开"
"ML-DS75-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","75","75","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/3.5W；尺寸 未公开；角度 未公开"
"ML-Q150-W-R-G-B-IR","慕藤光","Dome","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED方形漫射光源；功率 24V/9W；尺寸 150*150 mm；角度 60°"
"ML-R10000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/8.0W；尺寸 100 mm；角度 0°"
"ML-R10015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/8.4W；尺寸 100 mm；角度 15°"
"ML-R10030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/8.4W；尺寸 100 mm；角度 30°"
"ML-R10045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/10.5W；尺寸 100 mm；角度 45°"
"ML-R10060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/7.8W；尺寸 100 mm；角度 60°"
"ML-R10075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/7.8W；尺寸 100 mm；角度 75°"
"ML-R10090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/3.0W；尺寸 100 mm；角度 90°"
"ML-R12000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/12W；尺寸 120 mm；角度 0°"
"ML-R12015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 15°"
"ML-R12030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 30°"
"ML-R12045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/13W；尺寸 120 mm；角度 45°"
"ML-R12060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 60°"
"ML-R12075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 75°"
"ML-R12090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/3.5W；尺寸 120 mm；角度 90°"
"ML-R15000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/18W；尺寸 150 mm；角度 0°"
"ML-R15015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/14W；尺寸 150 mm；角度 15°"
"ML-R15030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/15W；尺寸 150 mm；角度 30°"
